,gpu,gpu_point
251,Radeon R9 280,5659
252,Quadro M3000M,5645
253,Radeon HD 7990,5566
254,GeForce GTX 690,5565
255,GeForce GTX 680,5550
256,Radeon R9 285 / 380,5550
257,GRID M60-8A,5523
258,Radeon Pro WX 5100,5479
259,Tesla K20Xm,5428
260,GeForce GTX 760 Ti OEM,5427
261,Quadro P2000 with Max-Q Design,5392
262,GeForce GTX 950,5367
263,FirePro S10000,5315
264,GeForce GTX 670,5293
265,GRID M60-2Q,5291
266,Radeon HD 7970 / R9 280X,5248
267,GeForce GTX 1050 3GB,5223
268,Radeon HD 8990,5214
269,FirePro W7100,5175
270,GeForce GTX 760 Ti,5166
271,Q12U-1,5164
272,Radeon R9 M295X,5150
273,Radeon R9 M395,5141
274,Radeon Pro Vega 20,5117
275,Ryzen 9 PRO 6950HS with Radeon Graphics,5068
276,GeForce GTX 1050,5066
277,FirePro S9000,5059
278,Ryzen 7 6800HS Creator Edition,4994
279,EIZO Quadro MED-XN51LP,4947
280,Barco MXRT 7600,4944
281,GeForce GTX 1630,4927
282,Radeon R9 270X,4922
283,FirePro S9050,4901
284,Ryzen 7 PRO 6850U with Radeon Graphics,4890
285,T550 Laptop GPU,4835
286,Ryzen 9 5900HS with Radeon Graphics,4824
287,Radeon Ryzen 7 4800H,4786
288,GeForce GTX 760,4776
289,Radeon R9 M395X,4775
290,Radeon HD 7950 / R9 280,4765
291,Ryzen 7 6800U with Radeon Graphics,4750
292,Radeon Sky 500,4736
293,Ryzen 7 PRO 6860Z with Radeon Graphics,4729
294,GRID P40-24Q,4728
295,Radeon R9 370,4722
296,Radeon Pro Vega 16,4683
297,GRID M60-1Q,4680
298,Radeon HD 7870,4667
299,Radeon RX 5500M,4639
300,B8DKMDAP,4557
301,Radeon Pro 465,4538
302,GeForce MX550,4537
303,GeForce GTX 580,4518
304,Radeon R7 370,4497
305,Radeon HD 7870 XT,4470
306,GeForce GTX 1050 (Mobile),4462
307,GRID M60-1B,4457
308,Citrix Indirect Display Adapter,4447
309,Quadro P1000,4440
310,GRID P6-4Q,4429
311,GeForce GTX 660 Ti,4369
312,FirePro W7000 Adapter,4340
313,Barco MXRT 7500,4319
314,Quadro K4200,4316
315,FirePro W7000,4312
316,Quadro M2200,4310
317,Radeon R9 270,4306
318,GeForce GTX 775M,4291
319,GRID P40-2Q,4288
320,GeForce GTX 680MX,4271
321,Radeon R9 270 / R7 370,4260
322,Ryzen 7 6800H with Radeon Graphics,4198
323,Intel Arc A380,4177
324,FirePro S7000,4166
325,GRID V100D-8Q,4156
326,Radeon RX 460,4122
327,GeForce GTX 480,4109
328,FirePro W8000,4096
329,Radeon HD 7800-serie,4029
330,GRID P6-2Q,4001
331,GeForce GTX 660,3995
332,Quadro K5000,3948
333,Quadro M2000,3933
334,GeForce GTX 750 Ti,3911
335,GeForce GTX 570,3907
336,Tesla K20m,3895
337,GeForce GTX 880M,3884
338,GRID M60-8Q,3884
339,Radeon HD 8970M,3876
340,GeForce GTX 1050 with Max-Q Design,3867
341,Radeon RX 5300M,3854
342,GRID P100-8Q,3841
343,Radeon HD 7850,3829
344,P106-100,3802
345,GeForce GTX 780M,3801
346,GeForce GTX 965M,3787
347,Radeon HD 7970M,3774
348,Tesla K40c,3756
349,Ryzen 7 PRO 6850HS with Radeon Graphics,3736
350,Radeon Pro WX 4100,3730
351,Ryzen 5 PRO 6650H with Radeon Graphics,3727
352,GeForce MX450,3718
353,Radeon Pro 560X,3678
354,Ryzen 5 6600H with Radeon Graphics,3674
355,T400,3651
356,Ryzen 5 PRO 6650U with Radeon Graphics,3644
357,T500,3626
358,Quadro P620,3624
359,T400 4GB,3617
360,Radeon RX 560,3602
361,Radeon RX Vega Ryzen 7 5700G,3584
362,Quadro K2200M,3570
363,GeForce GTX 680M KY_Bullet Edition,3569
364,GRID M6-8Q,3568
365,Quadro K2200,3540
366,Quadro M2000M,3527
367,Tesla C2050,3515
368,Quadro 7000,3505
369,Tesla M10,3490
370,Radeon Pro 560,3475
371,Radeon Pro 460,3453
372,Tesla C2050 / C2070,3428
373,Ryzen 5 6600U with Radeon Graphics,3418
374,GeForce GTX 960M,3405
375,Radeon R9 M470X,3400
376,GRID K520,3399
377,Radeon RX Vega M GL,3391
378,GeForce GTX 870M,3381
379,GeForce GTX 750,3381
